Date,binance,coindcx,bitforex,upbit,bitrue,nami_exchange,okex,b2bx,lbank,gdax,mxc,digifinex,gate,pionex,kucoin,bitget,uniswap_v3,bybit_spot,xt,hitbtc,bitmart,bione,bitcoin_com,bkex,whitebit,btse,huobi,dcoin,kraken,biconomy,bullish_com,changelly,bingx,cointr,azbit,tidex,binance_us,coinstore,coinsbit,p2pb2b
2023-04-01,10733247457.626478,5888126287.870831,2577157575.26866,2984720876.249448,1690035431.635161,1338409289.3730044,1384707532.961341,1438471810.455107,1192496545.3459215,1393620241.0590923,1226407625.897183,24100316547.846928,988929429.5392538,454985196.5528416,694777067.7823826,747179211.1644617,783988646.3341477,721733560.618284,577138601.7949194,740077437.4112626,775842613.9672041,585229444.6103356,730328429.5508074,920620945.365738,636066449.2685275,459858199.8457306,520400243.15516806,629661594.8747488,684693232.5966672,504745238.0839564,384744411.8851248,555445537.2110801,307253385.4313464,757525686.4234501,295713994.025538,543247423.6759036,656828592.0757017,182677675.71662736,416402591.9428241,255018842.51647928
2023-04-02,6883028575.402079,3621203030.1627455,2230945598.736907,2605125165.38308,1204433445.441588,1133797420.764466,888173562.5550979,6877598564.4930725,1204984430.3754554,758897793.1875614,1176671507.6494062,327734636.20038545,618102171.5670463,211657618.30723825,545066202.1468205,569947719.368983,489996974.2950732,377691222.0705142,425663466.9786319,497332951.5192025,456131190.22950673,533273030.49249154,481175830.1962212,708701966.3907757,289149850.4701149,378999106.2212734,402440985.4188825,390018579.8967515,282887255.9322972,488176589.7736676,142958924.46802723,323719595.6951994,233536460.0632426,405297058.6186272,363266036.1384512,287710605.3889786,300457632.992083,162032334.42622185,227334700.9773404,156966428.4771259
2023-04-03,6881775792.739411,3989592817.28244,2472997926.219384,2281252899.939624,1141046114.2957454,782044043.0681423,971967737.1003302,33685598403.74025,1236759664.7054832,595221963.1328629,709713227.7355064,319162567.22215146,627432964.8037058,222675043.142048,557297900.8427969,450669905.8920284,388567449.6550309,407040233.452812,429910458.8801064,438779482.090071,443311453.9294444,480340320.9078843,418363652.1170982,568392692.8525432,262638856.4545286,375762182.4436375,395418214.1757048,406998986.9318503,230469911.37518972,514134434.4339191,157906013.00065818,287028373.04916704,238312100.94131944,389488370.0506079,364525799.0718613,293001711.8439138,305014182.7670867,162270174.22753307,218323803.25965068,154146123.98400298
2023-04-04,12270505711.080338,6902359550.450789,2673378241.0720587,2510500966.5567656,1637858485.2120745,1158535016.2356062,1712183036.3620992,3302471138.9371176,1100651807.6228096,1471853939.0697412,710293279.2500643,607756841.159146,1180851252.0525198,475003025.2849079,863852609.8020167,475984494.1432764,788584343.5942353,883714722.9815135,693473691.456135,791176582.473985,860734947.9557039,999373220.3703848,759765965.1291301,817551900.3888081,528865236.2681963,371644109.9384537,540204840.3930843,645309272.1781027,734763856.0392399,656050870.9575037,444697921.6197844,571496352.3222615,427138483.0498051,594335958.610465,359199124.4933477,615440345.6668272,789855803.7347124,191416184.36457828,405148476.9220974,277285303.51849705
2023-04-05,10409395835.012646,6008416774.922845,2817093070.919181,2585335999.8301024,1421776079.8892171,912253378.7451642,1550563703.8817496,18707341868.377605,1219674952.448809,1396626391.8820417,788938635.6156887,468025944.38034606,1278453644.6990783,412641575.09338623,715364750.7604924,613760738.1550024,814586201.0663062,777404767.5277909,541767944.18367,770050670.4163454,851101174.815204,913185956.501058,750086435.6048933,678322432.2136289,610072634.1104398,409151781.7909324,538029386.2529956,617957353.2588592,658192411.8950156,595440477.7811757,342568724.6267565,566284668.5527564,341023974.0749693,475809391.9717529,366485549.40443885,527645844.5079261,671523585.8808837,178926965.95202497,364755647.2910233,259794058.96045667
2023-04-06,10041383951.062431,5546361873.562283,2711225398.8270493,3306950120.840146,1477474515.1300082,1125012692.634307,1469174675.2129974,16192242.540284242,1296952294.6488223,1360212581.8949718,956550846.4712018,441992048.33697605,1221729999.6737382,411721767.3983602,738909487.6659232,561578044.0421095,775195538.8092881,751408479.470446,643495724.8564192,739101682.71139,885429862.6612667,696338977.5604291,699184316.3946456,778991171.0489892,730725460.6257505,433255482.60739017,561728318.7053868,596352399.9163759,613388343.9585335,609924877.4190004,405523278.064321,510546142.6756109,356053776.1925366,434588202.7437699,370296019.7964958,487088241.800155,673531514.6596957,167797954.53676274,355006933.8348803,237337711.91696995
2023-04-07,8084277508.817715,4941349165.01189,2784530565.7640843,4359660326.218473,1207346539.828522,1071158166.6874416,1002972995.6900976,13688646.212183496,1252687177.235854,960190333.7229272,1032608078.4612525,401021728.0147935,889294940.9467009,329914122.4094369,561990281.8377465,546425589.984791,618362387.1060917,531048950.1494346,821658665.7678854,567374697.9349834,575932316.2050052,597389073.2282659,546406965.5755213,708649869.7321333,472331574.5445385,487879999.8139629,465676134.31894696,479319533.3391416,453205903.4801713,530356905.8235381,263373266.43319023,362016188.4291822,268916226.72248703,380736586.0337538,370530068.61586505,344683548.9843854,459374872.77684337,157214922.94407436,267727987.53866065,170031601.2645402
2023-04-08,5877223922.719977,5023586668.668801,2462568977.400826,2394431189.290002,994253349.487737,760669430.2356926,759404706.30505,11265924.425043276,1140350175.3873494,624947618.6987017,753207629.1129248,320987940.1254371,663441659.8644326,206982242.54143697,7636292561.934975,438891333.85658073,362077751.0748279,364548891.9195462,623765860.0568724,391618200.5421956,444740371.86461633,431233412.73238736,374809353.9497508,971502756.4727817,273577375.353876,480353685.9975091,396408158.7174261,359843723.6878023,262129142.44382507,474578837.1262808,144682755.79530042,228308205.8513904,216586188.6889279,268726770.7584056,365257071.9931984,238768844.2457449,280340428.3040568,147744821.1339605,186719303.4147665,121486738.1708568
2023-04-09,6720124013.518194,5108243533.389892,2233317626.26745,1695276643.7645073,921043089.3466676,730474533.3445208,596014920.6584705,11584437.511829857,732200940.2855608,452403915.510081,680695272.8507211,491770343.7275576,501813861.6151789,172569313.6470547,355662649.1960142,424508628.85851526,278170724.1280255,237493922.73421752,537053462.0970819,321393905.116966,345831959.99852985,273095521.2204625,307262556.0752529,641591152.431395,220373839.56200013,497770531.0100699,366344867.1723038,262730082.930979,157711476.6597271,453049227.5438191,78571849.51897952,208292513.89924783,203216070.8630093,231602314.26542425,365776496.1106224,185822216.7446132,164379202.54589373,145663009.935079,151553416.55446535,103714634.37463284
2023-04-10,7012379151.298336,5084488815.789266,2514487667.0287466,1334103009.0303004,1066003772.0477148,850316517.421533,664392131.5971056,18915261.71400402,766668806.7850721,534761746.5025811,921483815.0060998,397963959.4876534,620679143.7319765,234547806.1691365,415196891.139703,413969824.8639695,319749995.5570053,297052114.6870187,656144248.6784986,359059717.87398493,432726103.5717607,287149000.49504584,350880197.2228012,814454048.0997765,301764381.4041852,512161442.0408323,381617265.06354016,308532015.46621823,198628749.2597204,492119259.0658055,134911112.99985862,247950977.04373303,258688898.5946161,260219609.83976784,361852813.2179639,244203937.4293337,261547137.41415408,229468223.88563323,183507092.4981976,124895455.57895924
